DC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,INVERTER_IDs_1BY6WEcLGh8j5v7,INVERTER_IDs_1IF53ai7Xc0U56Y,INVERTER_IDs_3PZuoBAID5Wc2HD,INVERTER_IDs_7JYdWkrLSPkdwr4,INVERTER_IDs_McdE0feGgRqW7Ca,INVERTER_IDs_VHMLBKoKgIrUVDU,INVERTER_IDs_WRmjgnKYAwPKWDb,INVERTER_IDs_YxYtjZvoooNbGkE,INVERTER_IDs_ZnxXDlPa8U1GXgE,INVERTER_IDs_ZoEaEvLYb1n2sOq,INVERTER_IDs_adLQvlD726eNBSB,INVERTER_IDs_bvBOhCH3iADSZry,INVERTER_IDs_iCRJl6heRkivqQ3,INVERTER_IDs_ih0vzX44oOqAx2f,INVERTER_IDs_pkci93gMrogZuBj,INVERTER_IDs_rGa61gmuvPhdLxV,INVERTER_IDs_sjndEbLyjtCKgGv,INVERTER_IDs_uHbuxQJl8lW7ozc,INVERTER_IDs_wCURE6d3bPkepu2,INVERTER_IDs_z9Y9gH1T5YWrNuG,INVERTER_IDs_zBIq5rxdHJRwDNY,INVERTER_IDs_zVJPv84UY57bAof,PREDICTED_AC,ACTUAL_AC,TIMESTAMP
7358.428571,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,719.7628690520003,720.4714286,2020-06-11 11:30:00
7297.5,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,714.2644464250003,714.5625,2020-06-11 11:30:00
7378.285714,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,722.3033571389991,722.4428571,2020-06-11 11:30:00
7519.0,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,736.0091071549997,736.1571429,2020-06-11 11:30:00
7201.571429,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,705.1664999910006,705.2142857,2020-06-11 11:30:00
7467.625,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,730.8352142780003,731.1625,2020-06-11 11:30:00
7403.857143,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,724.8768392889998,724.9142857,2020-06-11 11:30:00
6795.142857,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,665.3774464350007,665.5714286,2020-06-11 11:30:00
7498.428571,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,733.9935178490003,734.1571429,2020-06-11 11:30:00
8259.875,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,808.1271964250003,808.3875,2020-06-11 11:45:00
8079.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,790.7220535820005,790.775,2020-06-11 11:45:00
8311.142857,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,813.0968750009996,813.3857143,2020-06-11 11:45:00
8281.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,810.1654940469995,810.45,2020-06-11 11:45:00
8332.125,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,815.2330535670002,815.4125,2020-06-11 11:45:00
8324.875,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,814.3245000009997,814.7125,2020-06-11 11:45:00
8206.875,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,802.6387678550001,803.2125,2020-06-11 11:45:00
8260.0,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,808.1124285680002,808.3875,2020-06-11 11:45:00
8273.375,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,809.625017851,809.7,2020-06-11 11:45:00
8370.428571,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,818.7919285739997,819.1571429,2020-06-11 11:45:00
7646.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,748.4518392950002,748.575,2020-06-11 11:45:00
