DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,INVERTER_IDs_1BY6WEcLGh8j5v7,INVERTER_IDs_1IF53ai7Xc0U56Y,INVERTER_IDs_3PZuoBAID5Wc2HD,INVERTER_IDs_7JYdWkrLSPkdwr4,INVERTER_IDs_McdE0feGgRqW7Ca,INVERTER_IDs_VHMLBKoKgIrUVDU,INVERTER_IDs_WRmjgnKYAwPKWDb,INVERTER_IDs_ZnxXDlPa8U1GXgE,INVERTER_IDs_ZoEaEvLYb1n2sOq,INVERTER_IDs_adLQvlD726eNBSB,INVERTER_IDs_bvBOhCH3iADSZry,INVERTER_IDs_iCRJl6heRkivqQ3,INVERTER_IDs_ih0vzX44oOqAx2f,INVERTER_IDs_pkci93gMrogZuBj,INVERTER_IDs_rGa61gmuvPhdLxV,INVERTER_IDs_sjndEbLyjtCKgGv,INVERTER_IDs_uHbuxQJl8lW7ozc,INVERTER_IDs_wCURE6d3bPkepu2,INVERTER_IDs_z9Y9gH1T5YWrNuG,INVERTER_IDs_zBIq5rxdHJRwDNY,INVERTER_IDs_zVJPv84UY57bAof,INVERTER_IDs_YxYtjZvoooNbGkE,PREDICTED_AC,INVERTER_ID,Z_SCORE,ANOMALY
2025-06-25 07:45:00,25.224999999999998,0.0460625,7,45,2,1,26.08596420288086,679.8728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.92796190389998,1BY6WEcLGh8j5v7,-0.11405300043343483,False
2025-06-25 08:00:00,25.4,0.05325,8,0,2,1,26.08596420288086,745.537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.28408928540007,1BY6WEcLGh8j5v7,-0.04551566376436833,False
2025-06-25 08:15:00,25.625,0.058375,8,15,2,1,26.55278778076172,881.9636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6537321431,1BY6WEcLGh8j5v7,0.09864754422141987,False
2025-06-25 08:30:00,25.85,0.0635,8,30,2,1,26.770978927612305,929.29016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.261767858,1BY6WEcLGh8j5v7,0.14833542431243332,False
2025-06-25 08:45:00,26.075,0.068625,8,45,2,1,27.86261749267578,978.21765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.95332142869992,1BY6WEcLGh8j5v7,0.1989238671293447,False
2025-06-25 09:00:00,26.3,0.07375,9,0,2,1,28.05870819091797,1097.5436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.70255357700002,1BY6WEcLGh8j5v7,0.3256143865319021,False
2025-06-25 09:15:00,26.45,0.0785,9,15,2,1,28.316652297973633,1164.7124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.24875000899993,1BY6WEcLGh8j5v7,0.3962012143018537,False
2025-06-25 09:30:00,26.6,0.08325,9,30,2,1,28.68655776977539,1239.3514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.60392857500003,1BY6WEcLGh8j5v7,0.47551119652566465,False
2025-06-25 09:45:00,26.75,0.088,9,45,2,1,28.925195693969727,1287.7274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.60103570800014,1BY6WEcLGh8j5v7,0.529394385673613,False
2025-06-25 10:00:00,26.9,0.09275,10,0,2,1,28.925195693969727,1407.7877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.27694644200008,1BY6WEcLGh8j5v7,0.6552942893198581,False
2025-06-25 10:15:00,27.049999999999997,0.095875,10,15,2,1,30.03813934326172,1457.946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.11903570499996,1BY6WEcLGh8j5v7,0.7075059399179574,False
2025-06-25 10:30:00,27.2,0.099,10,30,2,1,30.328208923339844,1531.8202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.68387857899995,1BY6WEcLGh8j5v7,0.7890767064845587,False
2025-06-25 10:45:00,27.35,0.102125,10,45,2,1,30.33570098876953,1552.2031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.66232143100004,1BY6WEcLGh8j5v7,0.8104100114498907,False
2025-06-25 11:00:00,27.5,0.10525,11,0,2,1,30.580291748046875,1574.775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.92016071400002,1BY6WEcLGh8j5v7,0.8347560136294587,False
