DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,AC_POWER
2025-06-26 23:30:00,24.95,0.0,23,30,3,0,23.078441619873047,1.6143720149993896,0.12781170010566711
2025-06-26 23:45:00,24.924999999999997,0.0,23,45,3,0,23.078441619873047,1.6143720149993896,0.12781170010566711
2025-06-27 00:00:00,24.9,0.0,0,0,4,0,23.078441619873047,0.45565512776374817,0.12781170010566711
2025-06-27 00:15:00,24.849999999999998,0.0,0,15,4,0,23.078441619873047,0.8367596864700317,0.12781170010566711
2025-06-27 00:30:00,24.799999999999997,0.0,0,30,4,0,22.59493637084961,0.8367596864700317,0.12781170010566711
2025-06-27 00:45:00,24.75,0.0,0,45,4,0,22.5319881439209,0.8367596864700317,0.12781170010566711
2025-06-27 01:00:00,24.7,0.0,1,0,4,0,22.556474685668945,0.45565512776374817,0.12781170010566711
2025-06-27 01:15:00,24.675,0.0,1,15,4,0,22.646484375,0.8367596864700317,0.12781170010566711
2025-06-27 01:30:00,24.65,0.0,1,30,4,0,22.646484375,0.8367596864700317,0.12781170010566711
2025-06-27 01:45:00,24.625,0.0,1,45,4,0,22.646484375,0.8367596864700317,0.12781170010566711
2025-06-27 02:00:00,24.6,0.0,2,0,4,0,22.591659545898438,0.45565512776374817,0.12781170010566711
2025-06-27 02:15:00,24.525000000000002,0.0,2,15,4,0,22.465974807739258,0.8367596864700317,0.12781170010566711
2025-06-27 02:30:00,24.450000000000003,0.0,2,30,4,0,22.465974807739258,0.8367596864700317,0.12781170010566711
2025-06-27 02:45:00,24.375,0.0,2,45,4,0,22.465974807739258,0.8367596864700317,0.12781170010566711
2025-06-27 03:00:00,24.3,0.0,3,0,4,0,22.19317054748535,0.45565512776374817,0.12781170010566711
2025-06-27 03:15:00,24.275,0.0,3,15,4,0,22.19317054748535,0.8367596864700317,0.12781170010566711
2025-06-27 03:30:00,24.25,0.0,3,30,4,0,22.102298736572266,0.8367596864700317,0.12781170010566711
2025-06-27 03:45:00,24.225,0.0,3,45,4,0,22.102298736572266,0.8367596864700317,0.12781170010566711
2025-06-27 04:00:00,24.2,0.0,4,0,4,0,22.102298736572266,0.45565512776374817,0.12781170010566711
2025-06-27 04:15:00,24.15,0.0,4,15,4,0,22.102298736572266,0.8367596864700317,0.12781170010566711
2025-06-27 04:30:00,24.1,0.0,4,30,4,0,21.956689834594727,0.8367596864700317,0.12781170010566711
2025-06-27 04:45:00,24.05,0.0,4,45,4,0,21.956689834594727,0.8367596864700317,0.12781170010566711
2025-06-27 05:00:00,24.0,0.0,5,0,4,0,21.854097366333008,0.45565512776374817,0.12781170010566711
2025-06-27 05:15:00,23.975,0.0013125,5,15,4,0,22.410076141357422,0.8367596864700317,0.12781170010566711
2025-06-27 05:30:00,23.95,0.002625,5,30,4,0,22.622854232788086,0.8367596864700317,0.7424517869949341
2025-06-27 05:45:00,23.924999999999997,0.0039375,5,45,4,0,22.622854232788086,20.551889419555664,10.318973541259766
2025-06-27 06:00:00,23.9,0.00525,6,0,4,1,22.622854232788086,18.992807388305664,9.284894943237305
2025-06-27 06:15:00,24.025,0.012875,6,15,4,1,23.021238327026367,133.83482360839844,134.69052124023438
2025-06-27 06:30:00,24.15,0.0205,6,30,4,1,23.357440948486328,275.2837829589844,270.4788513183594
2025-06-27 06:45:00,24.275,0.028125,6,45,4,1,23.65521812438965,401.04876708984375,387.44854736328125
2025-06-27 07:00:00,24.4,0.03575,7,0,4,1,24.179651260375977,512.0691528320312,500.83563232421875
2025-06-27 07:15:00,24.674999999999997,0.04625,7,15,4,1,24.56023406982422,684.0772705078125,670.0470581054688
2025-06-27 07:30:00,24.95,0.05675,7,30,4,1,25.536039352416992,819.1962890625,810.3829956054688
2025-06-27 07:45:00,25.225,0.06725,7,45,4,1,27.111244201660156,964.9933471679688,929.8499145507812
2025-06-27 08:00:00,25.5,0.07775,8,0,4,1,27.111244201660156,1144.27978515625,1108.283203125
2025-06-27 08:15:00,25.85,0.088625,8,15,4,1,27.80392074584961,1294.6268310546875,1269.588134765625
2025-06-27 08:30:00,26.2,0.0995,8,30,4,1,28.564023971557617,1481.678955078125,1430.3662109375
2025-06-27 08:45:00,26.549999999999997,0.110375,8,45,4,1,29.21526527404785,1562.91943359375,1518.519775390625
2025-06-27 09:00:00,26.9,0.12125,9,0,4,1,29.793703079223633,1806.110595703125,1762.2283935546875
2025-06-27 09:15:00,27.2,0.1285,9,15,4,1,30.906646728515625,1891.3756103515625,1831.6513671875
2025-06-27 09:30:00,27.5,0.13575,9,30,4,1,31.625944137573242,1985.0687255859375,1945.3681640625
2025-06-27 09:45:00,27.8,0.143,9,45,4,1,32.021366119384766,2068.273681640625,2021.1590576171875
2025-06-27 10:00:00,28.1,0.15025,10,0,4,1,33.277896881103516,2053.421142578125,2022.1246337890625
2025-06-27 10:15:00,28.400000000000002,0.1559375,10,15,4,1,33.521575927734375,2111.157470703125,2067.18359375
2025-06-27 10:30:00,28.700000000000003,0.161625,10,30,4,1,34.865631103515625,2111.157470703125,2066.9755859375
2025-06-27 10:45:00,29.0,0.1673125,10,45,4,1,34.6515998840332,2368.26220703125,2348.069091796875
2025-06-27 11:00:00,29.3,0.173,11,0,4,1,35.227317810058594,2492.69775390625,2458.5634765625
2025-06-27 11:15:00,29.525,0.1735,11,15,4,1,35.234127044677734,2483.251953125,2458.5634765625
2025-06-27 11:30:00,29.75,0.174,11,30,4,1,36.74689865112305,2487.5439453125,2458.5634765625
2025-06-27 11:45:00,29.975,0.1745,11,45,4,1,36.324249267578125,2607.0478515625,2580.842041015625
2025-06-27 12:00:00,30.2,0.175,12,0,4,1,35.52305221557617,2474.537841796875,2458.5634765625
2025-06-27 12:15:00,30.4,0.177,12,15,4,1,36.027183532714844,2646.084228515625,2583.135009765625
2025-06-27 12:30:00,30.6,0.179,12,30,4,1,35.43894577026367,2657.222900390625,2639.40478515625
2025-06-27 12:45:00,30.8,0.181,12,45,4,1,35.81669998168945,2687.996826171875,2639.40478515625
2025-06-27 13:00:00,31.0,0.183,13,0,4,1,35.78812026977539,2692.044189453125,2639.9482421875
2025-06-27 13:15:00,31.05,0.1810625,13,15,4,1,35.95637512207031,2671.159423828125,2639.9482421875
2025-06-27 13:30:00,31.1,0.179125,13,30,4,1,35.95637512207031,2671.159423828125,2639.9482421875
2025-06-27 13:45:00,31.15,0.1771875,13,45,4,1,35.95637512207031,2683.26025390625,2639.9482421875
2025-06-27 14:00:00,31.2,0.17525,14,0,4,1,35.95637512207031,2503.693359375,2459.27783203125
2025-06-27 14:15:00,31.25,0.16725,14,15,4,1,35.97704315185547,2484.63720703125,2459.27783203125
2025-06-27 14:30:00,31.299999999999997,0.15925,14,30,4,1,35.66025161743164,2247.016357421875,2222.351318359375
2025-06-27 14:45:00,31.349999999999998,0.15125,14,45,4,1,35.848655700683594,2185.45703125,2126.10791015625
2025-06-27 15:00:00,31.4,0.14325,15,0,4,1,34.156288146972656,2067.23583984375,2020.7525634765625
2025-06-27 15:15:00,31.4,0.13775,15,15,4,1,34.156288146972656,1960.2708740234375,1914.9071044921875
2025-06-27 15:30:00,31.4,0.13225,15,30,4,1,34.156288146972656,1950.3057861328125,1915.0684814453125
2025-06-27 15:45:00,31.4,0.12675,15,45,4,1,34.245792388916016,1852.087646484375,1831.405517578125
2025-06-27 16:00:00,31.4,0.12125,16,0,4,1,33.93947982788086,1768.18017578125,1728.1578369140625
